t,o,h,l,c,v
1705731300,44.4,44.45,44.35,44.4,86456
1705731480,44.4,44.45,44.3,44.35,38185
1705731660,44.35,44.35,44.3,44.3,24924
1705731840,44.3,44.35,44.3,44.35,19219
1705732020,44.35,44.35,44.3,44.35,40952
1705732200,44.35,44.35,44.3,44.35,20415
1705732380,44.3,44.35,44.3,44.3,21371
1705732560,44.35,44.35,44.3,44.35,17879
1705732740,44.35,44.35,44.3,44.35,7402
1705732920,44.35,44.35,44.3,44.35,25867
1705733100,44.35,44.35,44.25,44.35,114873
1705733280,44.3,44.35,44.25,44.35,26374
1705733460,44.35,44.35,44.3,44.3,36449
1705733640,44.35,44.35,44.3,44.3,16344
1705733820,44.35,44.35,44.3,44.3,12680
1705734000,44.35,44.4,44.3,44.4,63188
1705734180,44.35,44.4,44.3,44.35,36739
1705734360,44.25,44.3,44.2,44.2,134134
1705734540,44.25,44.3,44.2,44.3,91299
1705734720,44.3,44.35,44.25,44.25,42187
1705734900,44.25,44.35,44.25,44.35,55060
1705735080,44.3,44.35,44.3,44.35,38445
1705735260,44.3,44.35,44.3,44.3,21770
1705735440,44.35,44.35,44.3,44.3,24978
1705735620,44.3,44.4,44.3,44.35,98600
1705735800,44.35,44.4,44.3,44.35,27781
1705735980,44.35,44.4,44.3,44.4,42767
1705736160,44.4,44.4,44.3,44.35,69295
1705736340,44.4,44.4,44.35,44.4,27751
1705736520,44.35,44.4,44.35,44.4,14721
1705736700,44.35,44.4,44.35,44.35,65973
1705736880,44.4,44.4,44.35,44.4,26677
1705737060,44.35,44.4,44.35,44.35,77888
1705737240,44.35,44.55,44.35,44.5,333167
1705737420,44.5,44.6,44.4,44.55,192893
1705737600,44.55,44.6,44.45,44.5,86761
1705737780,44.5,44.5,44.4,44.45,109736
1705737960,44.4,44.45,44.35,44.45,102878
1705738140,44.4,44.75,44.4,44.75,486905
1705738320,44.75,44.8,44.7,44.7,505116
1705738500,44.7,44.7,44.5,44.6,358427
1705738680,44.55,44.6,44.5,44.55,87391
1705738860,44.55,44.55,44.45,44.5,89284
1705739040,44.5,44.55,44.45,44.55,67098
1705739220,44.55,44.7,44.55,44.6,117028
1705739400,44.6,44.65,44.55,44.6,115280
1705739580,44.65,44.8,44.65,44.75,261245
1705739760,44.8,44.95,44.75,44.85,604424
1705739940,44.9,45.2,44.9,45.15,1134743
1705740120,45.15,45.3,45.05,45.3,796079
1705740300,45.25,45.45,45.15,45.45,726176
1705740480,45.4,45.55,45.3,45.45,1119416
1705740660,45.4,45.4,45.25,45.25,488837
1705740840,45.25,45.3,45.15,45.2,322640
1705741020,45.25,45.35,45.15,45.35,322695
1705741200,45.35,45.7,45.3,45.6,1299252
1705741380,45.6,45.7,45.5,45.65,596900
1705741560,45.7,45.7,45.5,45.6,711017
1705741740,45.6,45.7,45.55,45.6,458342
1705741920,45.6,45.6,45.25,45.25,668139
1705742100,45.25,45.45,45.2,45.45,599955
1705742280,45.4,45.65,45.4,45.55,490772
1705742460,45.6,45.6,45.5,45.55,205647
1705742640,45.6,45.6,45.5,45.55,251737
