InputSymbol, ExchangeSymbol, Exchange, EntryOrderType, ExitOrderType, Quantity, StopLossPrice, ProductType, InstrumentName, Type, Strike, Expiry, MaxOpenPosition, StrategyTag, ClientCode,MaxProfit,MaxLoss,Currency
ADANIENT,ADANIENT,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ADANIPORTS,ADANIPORTS,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
APOLLOHOSP,APOLLOHOSP,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ASIANPAINT,ASIANPAINT,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AXISBANK,AXISBANK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BAJAJ-AUTO,BAJAJ-AUTO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BAJFINANCE,BAJFINANCE,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BAJAJFINSV,BAJAJFINSV,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BPCL,BPCL,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BHARTIARTL,BHARTIARTL,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
BRITANNIA,BRITANNIA,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
CIPLA,CIPLA,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
COALINDIA,COALINDIA,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
DIVISLAB,DIVISLAB,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
DRREDDY,DRREDDY,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
EICHERMOT,EICHERMOT,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
GRASIM,GRASIM,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HCLTECH,HCLTECH,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HDFCBANK,HDFCBANK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HDFCLIFE,HDFCLIFE,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HEROMOTOCO,HEROMOTOCO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HINDALCO,HINDALCO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
HINDUNILVR,HINDUNILVR,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ICICIBANK,ICICIBANK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ITC,ITC,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
INDUSINDBK,INDUSINDBK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
INFY,INFY,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
JSWSTEEL,JSWSTEEL,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
KOTAKBANK,KOTAKBANK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
LTIM,LTIM,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
LT,LT,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
M&M,M&M,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
MARUTI,MARUTI,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
NTPC,NTPC,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
NESTLEIND,NESTLEIND,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ONGC,ONGC,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
POWERGRID,POWERGRID,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
RELIANCE,RELIANCE,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
SBILIFE,SBILIFE,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
SBIN,SBIN,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
SUNPHARMA,SUNPHARMA,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TCS,TCS,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TATACONSUM,TATACONSUM,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TATAMOTORS,TATAMOTORS,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TATASTEEL,TATASTEEL,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TECHM,TECHM,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
TITAN,TITAN,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
UPL,UPL,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ULTRACEMCO,ULTRACEMCO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
WIPRO,WIPRO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
360ONE,360ONE,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
3MINDIA,3MINDIA,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ABB,ABB,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
ACC,ACC,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AIAENG,AIAENG,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
APLAPOLLO,APLAPOLLO,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AUBANK,AUBANK,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AARTIDRUGS,AARTIDRUGS,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AARTIIND,AARTIIND,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
AAVAS,AAVAS,NSE,Limit,Limit,25,,MIS(IntraDay),EQ,,,,,STG1,,,,
