t,o,h,l,c
1706854320,22115.05,22125.85,22087.35,22089
1706854500,22091.05,22102,22078.4,22097.15
1706854680,22098.5,22099.9,22073.4,22084.9
1706854860,22085.65,22088.1,22065.65,22065.65
1706855040,22066.5,22080.25,22066.45,22077.55
1706855220,22079.7,22088.2,22077.1,22080.55
1706855400,22081.55,22091.8,22080.6,22089.3
1706855580,22089.6,22094.15,22083.7,22083.9
1706855760,22084,22087.4,22055.9,22064.85
1706855940,22064.95,22070.7,22057.8,22058
1706856120,22058.75,22064.55,22051.45,22058.8
1706856300,22058.55,22065.95,22052.15,22053.35
1706856480,22051.7,22063.95,22051.7,22057.4
1706856660,22058.2,22059.95,22047.25,22048.45
1706856840,22051.6,22053.85,22013.1,22019.2
1706857020,22020.2,22020.65,21937.1,21937.1
1706857200,21939.6,21939.6,21870.4,21889.45
1706857380,21891.7,21939.4,21864.15,21864.75
1706857560,21864.4,21902.55,21841.9,21894.4
1706857740,21894.8,21955.4,21889.25,21928.3
1706857920,21929.05,21943.15,21903.15,21937.05
1706858100,21937.7,21939.75,21898.7,21899.25
1706858280,21899.45,21901.5,21860.85,21874.45
1706858460,21874.4,21906.65,21874.4,21894.05
1706858640,21894,21913.85,21894,21901.45
1706858820,21902.45,21910.4,21889.35,21889.35
1706859000,21888.05,21901.8,21873.1,21894.9
1706859180,21896.55,21904.35,21886.1,21886.1
1706859360,21885.75,21902.25,21880.45,21891.8
1706859540,21892.05,21893.7,21868.65,21872.7
1706859720,21876.05,21879.4,21841.1,21846.3
1706859900,21845.15,21866.75,21824.3,21859.4
1706860080,21857.9,21866.35,21850.35,21850.4
1706860260,21851.35,21854.85,21837.85,21841.75
1706860440,21842.7,21845,21805.95,21836.15
1706860620,21836.8,21849.4,21824.65,21847.15
1706860800,21845.9,21848.7,21812.4,21819
1706860980,21819.25,21850.45,21819.25,21847.75
1706861160,21847.65,21866.55,21843.1,21864.65
1706861340,21865.15,21875.55,21848.2,21853.15
1706861520,21853.1,21859,21842.75,21852.65
1706861700,21853.25,21869.1,21852.9,21856.95
1706861880,21857.75,21866.2,21840.15,21840.15
1706862060,21840.6,21863.25,21840.6,21861.55
1706862240,21862.3,21874.1,21860.45,21865.8
1706862420,21865.95,21875.15,21862.35,21873
1706862600,21872.6,21888.9,21862.1,21879.35
1706862780,21878.4,21888.8,21872.05,21887.9
1706862960,21888.95,21892.95,21880.15,21890.3
1706863140,21890.7,21902.8,21886.8,21886.8
1706863320,21886.3,21893.95,21880.75,21892.8
1706863500,21893.55,21902.9,21886.8,21900.6
1706863680,21900.3,21900.65,21876.25,21881.35
1706863860,21882.75,21886.4,21872.55,21873.9
1706864040,21875.2,21897.55,21869.25,21883.4
1706864220,21884.25,21884.25,21868.8,21872.55
1706864400,21873.25,21886.55,21868.55,21870.8
1706864580,21871.9,21875.35,21864.3,21872.05
1706864760,21872.2,21899.95,21870.15,21889.45
1706864940,21889.1,21890.85,21881.5,21889.2
1706865120,21890.2,21906.95,21887.85,21897.8
1706865300,21897.65,21903.15,21890.45,21894.35
1706865480,21894.95,21900.15,21879.45,21879.45
1706865660,21881.35,21881.35,21858.6,21861.35
1706865840,21859,21870.3,21845.85,21845.85
1706866020,21846.15,21851.35,21826.4,21851.35
1706866200,21851.9,21885.4,21843.15,21849.2
1706866380,21849.55,21861.45,21839.95,21861.45
1706866560,21860.55,21874.75,21858.05,21868.75
1706866740,21868,21875.05,21866,21872.6
1706866920,21872,21874.4,21852.55,21855.7
1706867100,21855.15,21856.15,21842.8,21852.75
1706867280,21852.55,21856.3,21841.55,21843.7
1706867460,21844.05,21844.85,21837.85,21843.75
1706867640,21843.5,21849.65,21840.75,21849.65
1706867820,21848.6,21856.25,21846.45,21855.45
1706868000,21854.8,21854.8,21853.8,21853.8
1707104700,21921.05,21921.05,21841.6,21864.2
1707104880,21861.9,21863.65,21835.25,21850.7
1707105060,21848.9,21866,21835.8,21865.3
1707105240,21866.45,21911.85,21861.8,21911.7
1707105420,21909.4,21912.4,21886.25,21903.35
1707105600,21902.5,21902.5,21869.55,21870
